,match_no,Home_team_run,Home_team_wickets,Home_team_over,Away_team_run,Away_team_wickets,Away_team_over,city,date_of_match,venue,Home_team,Away_team,toss_winner,winner,man_of_the_match,result,result_margin,eliminator,umpire1,umpire2
0,1,182,5,19.2,178,7,20,Ahmedabad,31-03-2023,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Rashid Khan,Wickets,5,N,Nitin Menon,Saiyed Khalid
1,2,191,5,20,146,7,16,Mohali,04-01-2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,Arshdeep Singh,Runs,7,DLS,Bruce Oxenford,Yeshwant Barde
2,3,193,6,20,143,9,20,Lucknow,04-01-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Lucknow Super Giants,Mark Wood,Runs,50,N,Anil Kumar Chaudhary,Nikhil Patwardhan
3,4,131,8,20,203,5,20,Hyderabad,04-02-2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Jos Buttler,Runs,72,N,KN Anantha Padmanabhan,Rohan Pandit
4,5,172,2,16.2,171,7,20,Bengaluru,04-02-2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Faf du Plessis,Wickets,8,N,Nitin Menon,Tapan Sharma
5,6,217,7,20,205,7,20,Chennai,04-03-2023,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Chennai Super Kings,Moeen Ali,Wickets,12,N,Akshay Totre,Bruce Oxenford
6,7,162,8,20,163,4,18.1,Delhi,04-04-2023, Arun Jaitley Stadiumi,Delhi Capitals,Gujarat Titans,Gujarat Titans,Gujarat Titans,Sai Sudharsan,Wickets,6,N,Nand Kishore,Sadashiv Iyer
7,8,192,7,20,197,4,20,Guwahati,04-05-2023,Barsapara Cricket Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Punjab Kings,Nathan Ellis,Runs,5,N,KN Anantha Padmanabhan,Sai Darshan Kumar
8,9,204,7,20,123,10,17.4,Kolkata,04-06-2023,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Shardul Thakur,Runs,81,N,Vinod Seshan,Virender Sharma
9,10,127,5,16,121,8,20,Lucknow ,04-07-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Krunal Pandya,Wickets,5,N,Jayaraman Madanagopal,Yeshwant Barde
10,11,199,4,20,142,9,20,Guwahati,04-08-2023,Barsapara Cricket Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Yashasvi Jaiswal,Runs,57,N,Navdeep Singh,Saidharshan Kumar
11,12,157,8,20,159,3,18.1,Mumbai,04-08-2023,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,Wickets,7,N,Chris Gaffaney,Nikhil Patwardhan
12,13,204,4,20,207,7,20,Ahmedabad,04-09-2023,Narendra Modi Stadium,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,Rinku Singh,Wickets,3,N,Nitin Menon,Tapan Sharma
